Azi Crawford	../images/AziLogo.svg	../images/allazi.jpg	<p>Az&iacute; is a singer, songwriter, composer, producer, and multi-instrumentalist.</p><p>His music reminds people of David Bowie, Queens Of The Stone Age, Pink Floyd, and Tool. Elements of progressive and pop swim in this little pond.</p></p>	spotify\https://open.spotify.com/artist/09SD7xGLV7hVnd3pmivtjF?si=yLz41139TKSVvi9DDwnc6g|youtube\https://www.youtube.com/channel/UCJ_zS91RBOmX13xI0meeJ5g|bandcamp\https://azicrawford.bandcamp.com
Lyres of Ur	https://f4.bcbits.com/img/0023178248_10.jpg	https://f4.bcbits.com/img/a1655878569_10.jpg	<p>80's-90's influenced Rock with a dash of contemporary influences.</p>	bandcamp\https://lyres-of-ur.bandcamp.com|facebook\https://l.facebook.com/l.php?u=https%3A%2F%2Fopen.spotify.com%2Fartist%2F5AlBi6EqqObew68uzzQsVu%3Fsi%3D0suoSE2gTOi4A21gY4YUPg%26utm_source%3Dcopy-link%26fbclid%3DIwAR2XxxGoSv3NTLwC-wFfnI4oB6jfHnJbvjHTFVIY1MSDxEcFBTDQdqMRJbw&h=AT1IrWvbGSGj3PT0_7BZfI7-BIH1kyNtZcOCmoQYAAL7t3zzP1m5aD7lw_31MRaHJ8xgOpYx_DD4pzauUvmlnBDbq3EKDRpmI99cw79zwzBDM5DEIfXBk3nk8COFR0IW-34wE4ipFwmYVs8MvFM
FATALButterfly	FATALButterflyLogo	FATALButterflyBandPhoto	<p>FATALButterflyBlurb</p>	spotify\https://open.spotify.com/artist/0ceB6BnG5tRUO6IuiUjypK?si=rI0lUJ1fSy2KT6orfuovvQ&dl_branch=1|facebook\https://www.facebook.com/FATALButterfly6
